ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W536,ABMI.2018.W536.A,Keenan,24-Aug-18,2018-07-22,Zsolt,Jillian,,,,,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,Enallagma,sp.,Enallagma,"Charpentier, 1840",nymph,LaPierre,Alex,2019-02-07,2,,mv,ABMI.A.41675,2018
W536,ABMI.2018.W536.A,Keenan,24-Aug-18,2018-07-22,Zsolt,Jillian,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Laccophilus,biguttatus,Laccophilus biguttatus,"Kirby, 1837",larva,LaPierre,Alex,2019-02-07,2,,mv,ABMI.A.41681,2018
W536,ABMI.2018.W536.A,Keenan,24-Aug-18,2018-07-22,Zsolt,Jillian,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Gyrinidae,,Gyrinus,sp.,Gyrinus,"Geoffroy, 1762",larva,LaPierre,Alex,2019-02-07,1,,mv,ABMI.A.41682,2018
W536,ABMI.2018.W536.A,Keenan,24-Aug-18,2018-07-22,Zsolt,Jillian,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,LaPierre,Alex,2019-02-07,3,,mv,ABMI.A.41684,2018
W239,ABMI.2018.W239.A,Moir,24-Aug-18,2018-08-8,Holland,James,,,,,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Lymnaeidae,,Stagnicola,exilis,Stagnicola exilis,"(I. Lea, 1834)",unknown,Tebby,Cheryl,2019-02-08,2,,mv,ABMI.A.31815,2018
W239,ABMI.2018.W239.A,Moir,24-Aug-18,2018-08-8,Holland,James,,,,,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Promenetus,exacuous megas,Promenetus exacuous megas,,unknown,Tebby,Cheryl,2019-02-08,1,,mv,ABMI.A.31816,2018
W239,ABMI.2018.W239.A,Moir,24-Aug-18,2018-08-8,Holland,James,,,,,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,gyrina,Physella gyrina,"(Say, 1821)",unknown,Tebby,Cheryl,2019-02-08,2,,mv,ABMI.A.31817,2018
W19,ABMI.2018.W19.A,,23-Aug-18,2018-08-4,Holland,James,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Menetus,opercularis,Menetus opercularis,"(Gould, 1847)",unknown,Tebby,Cheryl,2019-02-08,1,,mv,ABMI.A.31819,2018
W19,ABMI.2018.W19.A,,23-Aug-18,2018-08-4,Holland,James,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Gyraulus,crista,Gyraulus crista,"(Linnaeus, 1758)",unknown,Tebby,Cheryl,2019-02-08,7,,mv,ABMI.A.31820,2018
W19,ABMI.2018.W19.A,,23-Aug-18,2018-08-4,Holland,James,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Gyraulus,sp.,Gyraulus,"Agassiz, 1837",unknown,Tebby,Cheryl,2019-02-08,3,3 whorls,mv,ABMI.A.31821,2018
W19,ABMI.2018.W19.A,,23-Aug-18,2018-08-4,Holland,James,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,gyrina,Physella gyrina,"(Say, 1821)",unknown,Tebby,Cheryl,2019-02-08,1,,mv,ABMI.A.31822,2018
W19,ABMI.2018.W19.A,,23-Aug-18,2018-08-4,Holland,James,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,2019-02-08,6,,mv,ABMI.A.31824,2018
